X,Y,OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID
-9823335.30199068,4883236.36587865,11844,Stairs/Elevator to Neil & Hill | Stairs to Randolph,"20"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12991,,AERIAL,K,,8929,,{19860F75-A0E9-40F8-94BC-3DF88F02B3AB}
-9823332.71056298,4883236.36327977,11845,Reserved Parking Handicapped,"12"" X 18""",$250 Fine,Hill Street Parking Deck, ,Parking Deck, ,R7-8,Champaign,12992,,AERIAL,K,,8930,,{3B9E44DB-3BE6-4DCD-A9DB-915982A97E6E}
-9823330.11913528,4883236.36068022,11846,Reserved Parking Handicapped,"12"" X 18""",$250 Fine,Hill Street Parking Deck, ,Parking Deck, ,R7-8,Champaign,12993,,AERIAL,K,,8931,,{01823E70-6A94-4685-8318-5DB31116426D}
-9823327.32046128,4883236.357872,11847,Access to M2 & Downtown From 1st Floor Only,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12994,,AERIAL,K,,8932,,{DB2793E0-AF23-4549-BC6D-CE4F191B9376}
-9823324.93620313,4883236.56367339,11848,In Case of Fire Use Stairs,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12995,,AERIAL,K,,8933,,{B4ED6B63-AC7C-4AB3-A4E2-093DB9F87808}
-9823322.34477538,4883236.56107178,11849,Emergency Phone Push Button for Assistance arrow down,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12996,,AERIAL,K,,8934,,{3BFBF047-9F04-4F77-8AC8-4D80C0D369C7}
-9823389.30206328,4883241.10281205,11850,Reserved Parking Handicapped,"12"" X 18""",$250 Fine,Hill Street Parking Deck, ,Parking Deck, ,R7-8,Champaign,12997,,AERIAL,K,,8935,,{7C3C7461-9DD6-449E-A1D4-BAE75CAB7613}
-9823386.8143228,4883241.1003308,11851,Reserved Parking Handicapped,"12"" X 18""",$250 Fine,Hill Street Parking Deck, ,Parking Deck, ,R7-8,Champaign,12998,,AERIAL,K,,8936,,{A2745E4F-D30D-4C8C-9715-C6BCEADF75A4}
-9823384.32668539,4883240.99375177,11852,Level 3,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12999,,AERIAL,K,,8937,,{34E3C37E-F3D3-4A2E-9258-077D865D3F04}
-9823381.83904789,4883240.88730321,11853,Stairway,"6"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13000,,AERIAL,K,,8938,,{EDE26866-6506-4F24-AA7B-2C076669D6CA}
-9823379.45509908,4883240.78082644,11854,Elevator,"6"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13001,,AERIAL,K,,8939,,{C55420AE-A28B-4F72-A4B0-98D26BE84FD5}
-9823376.76008483,4883240.67403848,11855,Access to M2 & Downtown From 1st Floor Only,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13002,,AERIAL,K,,8940,,{6CE46A66-278A-4F22-A1C2-B8B4E5B33B6D}
-9823374.16868341,4883240.77554778,11856,In Case of Fire Use Stairs,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13003,,AERIAL,K,,8941,,{850553AC-56AA-468E-A8AA-2698A6AAECFE}
-9823371.57725453,4883240.77295911,11857,Emergency Phone Push Button for Assistance arrow down,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13004,,AERIAL,K,,8942,,{64F8A99F-F636-4142-99EB-26474946A9E7}
-9823368.88213716,4883240.77026615,11858,Emergency Phone Push Button for Assistance arrow down,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,13005,,AERIAL,K,,8943,,{4B9EC4E4-3215-43C9-A9D9-E8CB3AA21D72}
